Org Name,Website,Location
SolarSisters,https://www.solarsister.org/,Tanzania
Youth for Technology,http://www.youthfortechnology.org/,Nigeria
Aguasegura,https://www.aguasegura.com.ar/,Argentina
Better Ventures,http://www.better.vc/contact/,San Francisco
Balle,https://bealocalist.org/,San Francisco
Upwardly Global,https://www.upwardlyglobal.org,San Francisco
Sama Source,https://www.samasource.org/,San Francisco 
Bayes Impact,https://www.bayesimpact.org/,San Francisco
One Degree,https://www.1degree.org/,San Francisco
Raise Me,raise.me,San Francisco
Hand Up,https://handup.org/,San Francisco
Crowdpac,https://www.crowdpac.com/about,San Francisco
Udacity,https://www.udacity.com,San Francisco
Code2040,http://www.code2040.org,San Francisco Bay Area
Oksigen Lab,http://oksigenlab.eu/en/about-us,Berlin Germany
Social Impact GmBh,http://socialimpact.eu/EN/company,"Berlin, Germany "
Women Kind,https://www.womankind.org.uk/,London 
Buy Directly from Farmer,https://www.buydirectlyfromfarmers.tw/,"Taipei, Taiwan "
MercyCorps Colombia,https://www.mercycorps.org/countries/colombia,"Bogota, Colombia"
FlyingV,https://www.flyingv.cc,"Taipei, Taiwan"
Cola Life,http://www.colalife.org/status/,Zambia
Alive and Kicking,http://aliveandkicking.org/ambassadors/,"Zambia, Ghana, Kenya, UK"
Startup Chile,http://www.startupchile.org/,Chile 
Liter of Light,http://literoflight.org/,Phillippines
Strategic Advocacy for Human Rights,http://www.sa-hr.org/,Singapore
Center for Sustainable Development Studies,http://csds.vn/contact-us/,Vietnam
EcoFlora,www.ecoflora.com,Colombia
Opportunity International,http://opportunity.org/about-us/connect-with-us,
British Chamber of Commerce in Zambia,http://www.britishchamberzambia.org/contact-us/,Zambia
Village Water,https://villagewater.org/staff-trustees/,Zambia
Women for Change,http://www.wfc.org.zm/our-team-2/,Zambia
Zambia Land Alliance,http://www.zla.org.zm/,Zambia
Delta Analytics,"http://www.deltanalytics.org/

",San Francisco
Ambassadors for Sustained Health,http://weareash.org/,San Francisco
Watsi,https://watsi.org/,San Francisco
Kapor Center for Social Impact,http://www.kaporcenter.org/about/mission-and-philosophy/,"San Francisco, USA"
Tonic,http://www.toniic.com,"San Francisco, USA"
Impact HUB San Francisco,https://sanfrancisco.impacthub.net/impact-hub-sf-team/,"San Francisco, USA"
Tides Thoreau Center,http://www.thoreau.org/about-us/,"San Francisco, USA"
Literacy for Environmental Justice,http://www.lejyouth.org/about-us/,"San Francisco, USA"
Full Circle Fund,http://www.fullcirclefund.org/ ,"San Francisco, USA"
SOCAP Lindsay Smalling,http://socialcapitalmarkets.net/our-team/,"San Francisco, USA"
Libyan Women Forum,http://www.libyanwomenforum.com/,Libya
Better Place,https://www.betterplace.org/en,Sudan
ROOTS of Southern Sudan,http://www.rootsofsouthsudan.org/,Sudan
Project Education South Sudan,http://projecteducationsouthsudan.org/,Sudan
Darfur Women Network,https://darfurwomennetwork.org/,"Darfur, Sudan, Chad"
Africare,https://www.africare.org/,
WoMen Against Rape (WAR),http://www.womenagainstrape.co.bw/index.html,"Maun, Botswana"
More than Me ,http://morethanme.org/,Liberia
Somali Women Development Center,http://www.swdcsom.org/,Somalia
SIHA,http://sihanet.org/,"South Sudan, Eritrea, Uganda, Somalia, Somaliland, Djibouti, Ethiopia, Kenya"
Global Family Initiative,http://www.globalfamilyinitiative.org/,Ethiopia
International Women's Coffee Alliance (IWCA),https://www.womenincoffee.org/nicaragua/,"Burundi,Guinea, Rwanda, Central African Republic. Kenya, Sierra Leone, Chad, Liberia, South Sudan, Côte d'Ivoire, Madagascar, Sudan, Democratic Republic of Congo, Mali, Tanzania, Ethiopia, Niger, Zimbabwe, Nigeria, Jerusalem, Lebanon, Tunisia, Jordan, Morocco, Yemen, Indonesia, Nepal, Timor Leste (East Timor), Kyrgyzstan, Pakistan, Myanmar, Sri Lanka 
"
The Heart of a Woman Project (THOAW),http://www.heartofawomanproject.com/,South Africa
Zimbabwe Women’s Resource Centre and Network,http://www.zwrcn.org.zw/index.php,Zimbabwe
Act for Congo,http://www.actforcongo.org/,Democratic Republic of Congo
Camfed,https://camfed.org/,"Ghana, Malawi, Tanzania, Zimbabwe, Zambia"
Ripples Foundation,http://ripplesfoundation.ngo/,"Ghana, Nigeria, Cameroon"
Women For Women International ,http://www.womenforwomen.org/,"Afghanistan, Bosnia & Herzegovina, Democratic Republic of the Congo, Iraq, Kosovo, Nigeria, Rwanda, South Sudan "
